CLIMATE,CLIMATE,CLIMATE,CLIMATE,CLIMATE,CLIMATE,CLIMATE,CLIMATE,CLIMATE,CLIMATE,FEED_INTAKE,FEED_INTAKE,FEED_INTAKE,FEED_INTAKE,WATER_INTAKE,WATER_INTAKE,WATER_INTAKE,WATER_INTAKE,WATER_INTAKE,WATER_INTAKE
Datetime,Day,Average Temperature (C),Temperature 1 (C),Temperature 2 (c),Humidity,CO2 level,Air speed  (m³/u),Valve 1 upper (%],Valve 2 extra under (%),Datetime,Day,Total feed intake pen 1,Total feed intake pen 2,Datetime,Day,total water intake pen 1,total water intake pen 2,water (ml/animal) pen 1,water (ml/animal) pen 2
5/22/2020 0:00,1,33.7,33.9,33.5,45,501,125,2,5,5/22/2020 0:49,1,69,69,5/22/2020 13:52,1,3,0,0.003,0
5/22/2020 0:05,1,33.7,33.9,33.4,45,498,125,2,5,5/22/2020 1:49,1,69,69,5/22/2020 14:52,1,3,0,0.003,0
5/22/2020 0:10,1,33.8,33.9,33.5,46,512,125,2,5,5/22/2020 2:49,1,69,69,5/22/2020 15:52,1,7,5,0.006,0.004
5/22/2020 0:15,1,33.7,34,33.5,44,511,125,2,5,5/22/2020 3:49,1,69,69,5/22/2020 16:52,1,7,5,0.006,0.004
5/22/2020 0:20,1,33.8,34,33.5,44,503,125,2,5,5/22/2020 4:49,1,69,69,5/22/2020 17:52,1,7,5,0.006,0.004
5/22/2020 0:25,1,33.8,34.1,33.5,44,506,125,2,5,5/22/2020 5:49,1,69,69,5/22/2020 18:52,1,10,5,0.008,0.004
5/22/2020 0:30,1,33.7,34,33.4,45,511,125,2,5,5/22/2020 6:49,1,69,69,5/22/2020 19:52,1,11,11,0.009,0.009
5/22/2020 0:35,1,33.7,34,33.4,44,511,125,2,5,5/22/2020 7:49,1,69,69,5/22/2020 20:52,1,11,11,0.009,0.009
5/22/2020 0:40,1,33.7,34,33.5,44,527,125,2,5,5/22/2020 8:49,1,69,69,5/22/2020 21:52,1,11,11,0.009,0.009
5/22/2020 0:45,1,33.8,34,33.5,45,524,125,2,5,5/22/2020 9:49,1,69,69,5/22/2020 22:52,1,14,11,0.012,0.009
5/22/2020 0:50,1,33.8,34.1,33.5,44,527,125,2,5,5/22/2020 10:49,1,69,69,5/22/2020 23:52,1,14,11,0.012,0.009
5/22/2020 0:55,1,33.9,34,33.6,45,531,125,2,5,5/22/2020 11:49,1,69,69,5/23/2020 0:52,2,14,11,0.012,0.009
5/22/2020 1:00,1,33.9,34.1,33.7,45,525,125,2,5,5/22/2020 12:49,1,69,69,5/23/2020 1:52,2,14,16,0.012,0.014
5/22/2020 1:05,1,33.9,34,33.6,46,532,125,2,5,5/22/2020 13:49,1,69,69,5/23/2020 2:52,2,17,16,0.015,0.014
5/22/2020 1:10,1,33.8,33.9,33.4,46,544,125,2,5,5/22/2020 14:49,1,69,69,5/23/2020 3:52,2,17,16,0.015,0.014
5/22/2020 1:15,1,33.7,34,33.3,45,541,125,2,5,5/22/2020 15:49,1,69,69,5/23/2020 4:52,2,17,16,0.015,0.014
5/22/2020 1:20,1,33.4,33.8,33,45,541,125,2,5,5/22/2020 16:49,1,69,69,5/23/2020 5:52,2,21,16,0.018,0.014
5/22/2020 1:25,1,33.6,33.8,33.4,44,545,125,2,5,5/22/2020 17:49,1,69,69,5/23/2020 6:52,2,21,21,0.018,0.018
5/22/2020 1:30,1,33.6,33.9,33.4,44,544,125,2,5,5/22/2020 18:49,1,69,69,5/23/2020 7:52,2,21,21,0.018,0.018
5/22/2020 1:35,1,33.7,33.9,33.5,45,553,125,2,5,5/22/2020 19:49,1,69,69,5/23/2020 8:52,2,24,21,0.003,0
5/22/2020 1:40,1,33.8,34,33.6,45,553,125,2,5,5/22/2020 20:49,1,69,69,5/23/2020 9:52,2,24,21,0.003,0
5/22/2020 1:45,1,33.9,34.1,33.6,44,543,125,2,5,5/22/2020 21:49,1,69,69,5/23/2020 10:52,2,27,26,0.006,0.004
5/22/2020 1:50,1,33.9,34.1,33.7,44,548,125,2,5,5/22/2020 22:49,1,69,69,5/23/2020 11:52,2,27,26,0.006,0.004
5/22/2020 1:55,1,33.9,34.1,33.7,44,560,125,2,5,5/22/2020 23:49,1,69,69,5/23/2020 12:52,2,31,26,0.009,0.004
5/22/2020 2:00,1,33.8,34,33.6,44,555,125,2,5,5/23/2020 0:49,2,69,69,5/23/2020 13:52,2,31,32,0.009,0.01
5/22/2020 2:05,1,33.7,34,33.2,46,553,125,2,5,5/23/2020 1:49,2,69,69,5/23/2020 14:52,2,34,32,0.012,0.01
5/22/2020 2:10,1,33.6,33.9,33.3,44,559,125,2,5,5/23/2020 2:49,2,69,69,5/23/2020 15:52,2,34,37,0.012,0.014
5/22/2020 2:15,1,33.5,33.8,33.2,44,559,125,2,5,5/23/2020 3:49,2,69,69,5/23/2020 16:52,2,38,37,0.015,0.014
5/22/2020 2:20,1,33.6,33.9,33.4,44,551,125,2,5,5/23/2020 4:49,2,69,69,5/23/2020 17:52,2,38,43,0.015,0.019
5/22/2020 2:25,1,33.7,33.9,33.6,44,554,125,2,5,5/23/2020 5:49,2,69,69,5/23/2020 18:52,2,42,43,0.018,0.019
5/22/2020 2:30,1,33.7,33.9,33.5,44,561,125,2,5,5/23/2020 6:49,2,69,69,5/23/2020 19:52,2,42,43,0.018,0.019
5/22/2020 2:35,1,33.7,33.9,33.5,44,563,125,2,5,5/23/2020 7:49,2,74,69,5/23/2020 20:52,2,42,43,0.018,0.019
5/22/2020 2:40,1,33.7,34,33.6,44,552,125,2,5,5/23/2020 8:49,2,74,69,5/23/2020 21:52,2,42,43,0.018,0.019
5/22/2020 2:45,1,33.7,33.8,33.5,45,558,125,2,5,5/23/2020 9:49,2,74,69,5/23/2020 22:52,2,45,48,0.021,0.023
5/22/2020 2:50,1,33.7,33.9,33.4,45,559,125,2,5,5/23/2020 10:49,2,74,69,5/23/2020 23:52,2,49,48,0.024,0.023
5/22/2020 2:55,1,33.7,33.9,33.4,45,552,125,2,5,5/23/2020 11:49,2,80,75,5/24/2020 0:52,3,49,48,0.024,0.023
5/22/2020 3:00,1,33.6,33.9,33.4,44,566,125,2,5,5/23/2020 12:49,2,80,75,5/24/2020 1:52,3,49,53,0.024,0.027
5/22/2020 3:05,1,33.6,33.9,33.5,45,559,125,2,5,5/23/2020 13:49,2,80,75,5/24/2020 2:52,3,52,53,0.027,0.028
5/22/2020 3:10,1,33.6,33.9,33.3,44,558,125,2,5,5/23/2020 14:49,2,86,80,5/24/2020 3:52,3,52,53,0.027,0.028
5/22/2020 3:15,1,33.7,33.9,33.5,44,554,125,2,5,5/23/2020 15:49,2,86,80,5/24/2020 4:52,3,55,53,0.03,0.028
5/22/2020 3:20,1,33.7,33.9,33.4,44,561,125,2,5,5/23/2020 16:49,2,86,80,5/24/2020 5:52,3,56,58,0.031,0.032
5/22/2020 3:25,1,33.7,33.9,33.4,44,555,125,2,5,5/23/2020 17:49,2,86,80,5/24/2020 6:52,3,60,58,0.034,0.032
5/22/2020 3:30,1,33.7,34,33.5,44,574,125,2,5,5/23/2020 18:49,2,86,80,5/24/2020 7:52,3,60,63,0.034,0.037
5/22/2020 3:35,1,33.7,34,33.5,45,557,125,2,5,5/23/2020 19:49,2,86,80,5/24/2020 8:52,3,63,63,0,0
5/22/2020 3:40,1,33.8,34,33.6,44,550,125,2,5,5/23/2020 20:49,2,86,80,5/24/2020 9:52,3,67,68,0.003,0.004
5/22/2020 3:45,1,33.8,34,33.5,44,561,125,2,5,5/23/2020 21:49,2,86,80,5/24/2020 10:52,3,67,68,0.003,0.004
5/22/2020 3:50,1,33.8,34.1,33.6,44,552,125,2,5,5/23/2020 22:49,2,86,80,5/24/2020 11:52,3,70,73,0.006,0.009
5/22/2020 3:55,1,33.9,34.1,33.6,44,551,125,2,5,5/23/2020 23:49,2,86,80,5/24/2020 12:52,3,74,73,0.01,0.009
5/22/2020 4:00,1,33.8,34,33.5,44,559,125,2,5,5/24/2020 0:49,3,86,80,5/24/2020 13:52,3,75,78,0.01,0.013
5/22/2020 4:05,1,33.8,33.9,33.4,45,548,125,2,5,5/24/2020 1:49,3,86,80,5/24/2020 14:52,3,79,78,0.013,0.013
5/22/2020 4:10,1,33.8,33.9,33.5,45,551,125,2,5,5/24/2020 2:49,3,86,80,5/24/2020 15:52,3,82,83,0.017,0.017
5/22/2020 4:15,1,33.8,33.9,33.6,45,548,125,2,5,5/24/2020 3:49,3,86,80,5/24/2020 16:52,3,82,83,0.017,0.017
5/22/2020 4:20,1,33.8,34,33.5,44,542,125,2,5,5/24/2020 4:49,3,86,80,5/24/2020 17:52,3,86,83,0.02,0.017
